transaction_id,user_id,amount,timestamp,merchant,transaction_type,location,device_info,is_fraud,hour,user_id_enc,merchant_enc,transaction_type_enc,location_enc,device_enc,avg_amount_per_user,txn_count_per_user,amount_dev,is_odd_hour,device_risk_score
18,user_50,822.74,2026-09-13 17:14:39.153465,Flipkart,refund,Chennai,Android,0,17,45,1,0,1,0,4276.488269230769,104,-3453.7482692307694,0,0.1
19,user_18,3993.17,2026-08-06 20:53:18.153465,Zomato,refund,Bangalore,Web,0,20,9,5,0,0,1,4267.170924369748,119,-274.00092436974774,0,0.2
20,user_16,2326.83,2026-09-09 07:51:52.153465,Walmart,request,Mumbai,Android,0,7,7,4,1,3,0,3660.321525423729,118,-1333.491525423729,0,0.1
21,user_12,16576.55,2026-08-15 15:56:07.153465,Paytm,request,Chennai,Web,0,15,3,2,1,1,1,52530.11026548673,113,-35953.560265486725,0,0.2
22,user_4,3133.61,2026-09-03 05:24:54.153465,Swiggy,refund,Delhi,Web,0,5,33,3,0,2,1,4960.130344827586,116,-1826.5203448275856,1,0.2
23,user_29,614.49,2026-09-07 04:48:23.153465,Walmart,request,Chennai,Android,0,4,21,4,1,1,0,4165.22631147541,122,-3550.73631147541,1,0.1
24,user_35,89143.54,2026-08-03 17:24:26.153465,Amazon,refund,Bangalore,Web,1,17,28,0,0,0,1,15800.978582677166,127,73342.56141732282,0,0.2
25,user_37,18693.33,2026-08-09 23:58:02.153465,Swiggy,refund,Chennai,Web,0,23,30,3,0,1,1,15907.096030534352,131,2786.2339694656494,0,0.2
26,user_31,2450.31,2026-08-26 17:34:39.153465,Zomato,refund,Bangalore,Android,0,17,24,5,0,0,0,4894.9887499999995,96,-2444.6787499999996,0,0.1
27,user_17,2069.95,2026-08-01 07:03:04.153465,Swiggy,send,Pune,iOS,0,7,8,3,2,4,2,4173.412348484848,132,-2103.462348484848,0,0.5
28,user_23,13642.61,2026-09-13 00:17:27.153465,Flipkart,request,Pune,iOS,0,0,15,1,1,4,2,21876.48723880597,134,-8233.87723880597,1,0.5
29,user_13,8062.73,2026-08-10 08:56:31.153465,Flipkart,request,Pune,iOS,0,8,4,1,1,4,2,16363.8575,124,-8301.1275,0,0.5
30,user_35,5850.61,2026-07-22 12:02:49.153465,Zomato,refund,Mumbai,Android,0,12,28,5,0,3,0,15800.978582677166,127,-9950.368582677165,0,0.1
31,user_26,3604.19,2026-08-13 23:01:41.153465,Swiggy,refund,Chennai,Web,0,23,18,3,0,1,1,4396.555663716814,113,-792.3656637168137,0,0.2
32,user_23,10157.26,2026-08-25 16:31:40.153465,Amazon,send,Pune,Web,0,16,15,0,2,4,1,21876.48723880597,134,-11719.22723880597,0,0.2
33,user_19,967.28,2026-09-02 01:35:04.153465,Paytm,request,Pune,Web,0,1,10,2,1,4,1,3644.202786885246,122,-2676.922786885246,1,0.2
34,user_18,932.45,2026-09-07 06:49:25.153465,Zomato,send,Delhi,Web,0,6,9,5,2,2,1,4267.170924369748,119,-3334.720924369748,1,0.2
35,user_16,4504.84,2026-09-08 14:16:29.153465,Paytm,request,Delhi,Web,1,14,7,2,1,2,1,3660.321525423729,118,844.5184745762713,0,0.2
36,user_20,9361.69,2026-08-14 16:24:38.153465,Amazon,send,Chennai,Android,0,16,12,0,2,1,0,19935.082280701754,114,-10573.392280701753,0,0.1
37,user_3,33194.88,2026-09-06 16:56:32.153465,Flipkart,send,Pune,Android,0,16,22,1,2,4,0,51628.90211538462,104,-18434.02211538462,0,0.1
38,user_1,1294.08,2026-08-21 14:16:31.153465,Flipkart,send,Pune,iOS,0,14,0,1,2,4,2,4037.2688695652173,115,-2743.1888695652174,0,0.5
39,user_2,107327.66,2026-07-23 17:33:29.153465,Amazon,request,Pune,Android,1,17,11,0,1,4,0,47401.46406779661,118,59926.195932203394,0,0.1
40,user_27,8420.25,2026-09-18 04:28:12.153465,Flipkart,send,Pune,iOS,0,4,19,1,2,4,2,18537.69881355932,118,-10117.44881355932,1,0.5
41,user_9,11078.35,2026-07-27 22:52:21.153465,Amazon,request,Delhi,iOS,0,22,49,0,1,2,2,4747.313999999999,110,6331.036000000001,0,0.5
42,user_39,1548.39,2026-08-26 10:27:41.153465,Zomato,refund,Delhi,iOS,0,10,32,5,0,2,2,4488.573909090909,110,-2940.183909090909,0,0.5
43,user_17,3198.01,2026-09-14 11:48:01.153465,Paytm,refund,Mumbai,Web,1,11,8,2,0,3,1,4173.412348484848,132,-975.4023484848476,0,0.2
44,user_43,5173.02,2026-09-16 11:02:55.153465,Amazon,refund,Chennai,iOS,0,11,37,0,0,1,2,15429.552764227643,123,-10256.532764227642,0,0.5
45,user_49,13050.34,2026-08-02 08:29:57.153465,Walmart,refund,Pune,iOS,1,8,43,4,0,4,2,19333.43277227723,101,-6283.0927722772285,0,0.5
46,user_22,19222.5,2026-09-07 13:22:08.153465,Walmart,refund,Pune,Web,0,13,14,4,0,4,1,18343.150086206897,116,879.349913793103,0,0.2
47,user_21,10372.18,2026-09-14 18:18:49.153465,Walmart,refund,Pune,Web,1,18,13,4,0,4,1,4244.438115942029,138,6127.741884057971,0,0.2
48,user_37,15391.23,2026-08-30 21:25:06.153465,Walmart,send,Bangalore,Android,0,21,30,4,2,0,0,15907.096030534352,131,-515.8660305343528,0,0.1
49,user_23,110560.58,2026-08-12 20:34:56.153465,Flipkart,send,Mumbai,iOS,1,20,15,1,2,3,2,21876.48723880597,134,88684.09276119403,0,0.5
50,user_8,4503.28,2026-08-09 03:06:31.153465,Flipkart,request,Chennai,Android,0,3,48,1,1,1,0,4162.542654867257,113,340.73734513274303,1,0.1
51,user_22,12116.06,2026-08-13 12:59:16.153465,Flipkart,request,Pune,Android,0,12,14,1,1,4,0,18343.150086206897,116,-6227.0900862068975,0,0.1
52,user_36,9059.0,2026-08-29 10:59:24.153465,Swiggy,send,Delhi,iOS,1,10,29,3,2,2,2,4483.898691588785,107,4575.101308411215,0,0.5
53,user_47,204.63,2026-08-19 16:25:57.153465,Flipkart,send,Chennai,iOS,0,16,41,1,2,1,2,3883.282635658915,129,-3678.6526356589147,0,0.5
54,user_13,8727.1,2026-07-29 17:29:06.153465,Walmart,refund,Mumbai,iOS,0,17,4,4,0,3,2,16363.8575,124,-7636.7575,0,0.5
55,user_5,13671.0,2026-08-27 19:52:34.153465,Flipkart,refund,Mumbai,Web,0,19,44,1,0,3,1,21765.65124031008,129,-8094.651240310079,0,0.2
56,user_48,12387.69,2026-07-30 19:37:09.153465,Amazon,refund,Mumbai,Android,1,19,42,0,0,3,0,4029.46368852459,122,8358.22631147541,0,0.1
57,user_17,3303.98,2026-08-08 09:33:36.153465,Flipkart,send,Delhi,Web,0,9,8,1,2,2,1,4173.412348484848,132,-869.4323484848478,0,0.2
58,user_46,2218.12,2026-09-05 06:11:21.153465,Paytm,refund,Pune,Web,0,6,40,2,0,4,1,4824.613684210526,133,-2606.493684210526,1,0.2
59,user_38,18002.08,2026-08-08 17:43:27.153465,Flipkart,send,Mumbai,Web,0,17,31,1,2,3,1,17814.76077586207,116,187.3192241379329,0,0.2
60,user_49,13921.48,2026-09-05 17:43:17.153465,Walmart,request,Chennai,iOS,0,17,43,4,1,1,2,19333.43277227723,101,-5411.952772277229,0,0.5
61,user_36,2235.5,2026-09-16 19:25:07.153465,Paytm,request,Mumbai,Android,0,19,29,2,1,3,0,4483.898691588785,107,-2248.3986915887854,0,0.1
62,user_33,2645.46,2026-08-07 15:05:22.153465,Walmart,request,Delhi,Android,0,15,26,4,1,2,0,3974.536484375,128,-1329.0764843749998,0,0.1
63,user_36,4483.0,2026-08-20 02:50:37.153465,Walmart,request,Pune,Web,1,2,29,4,1,4,1,4483.898691588785,107,-0.8986915887853684,1,0.2
64,user_23,11326.08,2026-07-25 13:37:04.153465,Amazon,request,Delhi,Android,0,13,15,0,1,2,0,21876.48723880597,134,-10550.40723880597,0,0.1
65,user_39,4356.59,2026-08-27 17:49:05.153465,Flipkart,send,Delhi,Android,0,17,32,1,2,2,0,4488.573909090909,110,-131.98390909090904,0,0.1
66,user_43,13789.94,2026-07-23 02:07:13.153465,Zomato,refund,Pune,Web,0,2,37,5,0,4,1,15429.552764227643,123,-1639.6127642276424,1,0.2
67,user_35,13277.28,2026-08-13 17:40:51.153465,Paytm,request,Chennai,Android,0,17,28,2,1,1,0,15800.978582677166,127,-2523.698582677165,0,0.1
68,user_21,3850.05,2026-08-24 20:21:37.153465,Paytm,send,Delhi,iOS,0,20,13,2,2,2,2,4244.438115942029,138,-394.3881159420289,0,0.5
69,user_23,18211.98,2026-08-04 19:08:41.153465,Flipkart,send,Chennai,Web,0,19,15,1,2,1,1,21876.48723880597,134,-3664.5072388059707,0,0.2
70,user_31,629.35,2026-08-19 01:18:18.153465,Swiggy,request,Chennai,Android,0,1,24,3,1,1,0,4894.9887499999995,96,-4265.638749999999,1,0.1
71,user_46,3366.12,2026-08-06 13:21:17.153465,Amazon,request,Delhi,Web,0,13,40,0,1,2,1,4824.613684210526,133,-1458.4936842105262,0,0.2
72,user_7,42150.32,2026-09-02 23:51:57.153465,Walmart,request,Mumbai,iOS,0,23,47,4,1,3,2,60187.18528,125,-18036.865279999998,0,0.5
73,user_44,11127.66,2026-07-28 04:28:57.153465,Flipkart,send,Chennai,iOS,0,4,38,1,2,1,2,17327.384636363637,110,-6199.724636363637,1,0.5
74,user_5,5216.57,2026-09-08 15:45:10.153465,Swiggy,send,Bangalore,iOS,0,15,44,3,2,0,2,21765.65124031008,129,-16549.08124031008,0,0.5
75,user_2,35774.73,2026-09-14 13:40:33.153465,Paytm,refund,Bangalore,Android,0,13,11,2,0,0,0,47401.46406779661,118,-11626.734067796606,0,0.1
76,user_11,1022.1,2026-08-14 23:28:39.153465,Amazon,send,Chennai,Android,0,23,2,0,2,1,0,3819.240342465753,146,-2797.1403424657533,0,0.1
77,user_50,1665.14,2026-07-25 10:37:35.153465,Flipkart,request,Pune,Android,0,10,45,1,1,4,0,4276.488269230769,104,-2611.348269230769,0,0.1
78,user_22,16305.88,2026-07-27 23:30:36.153465,Walmart,request,Delhi,Web,1,23,14,4,1,2,1,18343.150086206897,116,-2037.2700862068978,0,0.2
79,user_45,9350.92,2026-08-21 14:46:03.153465,Amazon,refund,Bangalore,Web,1,14,39,0,0,0,1,3748.3989344262295,122,5602.52106557377,0,0.2
80,user_13,16707.41,2026-08-15 18:46:29.153465,Paytm,refund,Pune,Android,0,18,4,2,0,4,0,16363.8575,124,343.5524999999998,0,0.1
81,user_30,5232.69,2026-09-06 12:08:43.153465,Paytm,refund,Chennai,Android,0,12,23,2,0,1,0,20780.866470588233,119,-15548.176470588234,0,0.1
82,user_3,31822.19,2026-09-10 00:37:13.153465,Paytm,send,Bangalore,Android,0,0,22,2,2,0,0,51628.90211538462,104,-19806.71211538462,1,0.1
83,user_23,6832.61,2026-08-31 12:21:47.153465,Amazon,refund,Chennai,Android,0,12,15,0,0,1,0,21876.48723880597,134,-15043.87723880597,0,0.1
84,user_5,42776.78,2026-09-14 09:27:04.153465,Swiggy,refund,Chennai,Web,0,9,44,3,0,1,1,21765.65124031008,129,21011.12875968992,0,0.2
85,user_38,10550.03,2026-08-24 01:42:50.153465,Swiggy,refund,Pune,Android,0,1,31,3,0,4,0,17814.76077586207,116,-7264.730775862068,1,0.1
86,user_30,12505.8,2026-08-11 13:37:32.153465,Paytm,request,Mumbai,Android,0,13,23,2,1,3,0,20780.866470588233,119,-8275.066470588234,0,0.1
87,user_30,6839.28,2026-09-05 15:48:07.153465,Amazon,send,Delhi,iOS,0,15,23,0,2,2,2,20780.866470588233,119,-13941.586470588234,0,0.5
88,user_13,9724.83,2026-07-23 16:53:06.153465,Swiggy,request,Mumbai,Android,0,16,4,3,1,3,0,16363.8575,124,-6639.0275,0,0.1
89,user_33,13369.87,2026-08-08 23:30:11.153465,Zomato,send,Delhi,Android,1,23,26,5,2,2,0,3974.536484375,128,9395.333515625001,0,0.1
90,user_13,130021.87,2026-07-27 02:34:54.153465,Swiggy,refund,Chennai,Web,1,2,4,3,0,1,1,16363.8575,124,113658.0125,1,0.2
91,user_22,5874.35,2026-09-14 16:56:17.153465,Zomato,send,Bangalore,Web,0,16,14,5,2,0,1,18343.150086206897,116,-12468.800086206897,0,0.2
92,user_4,2739.42,2026-07-23 15:58:23.153465,Flipkart,refund,Pune,iOS,0,15,33,1,0,4,2,4960.130344827586,116,-2220.7103448275857,0,0.5
93,user_22,19580.74,2026-09-05 09:41:26.153465,Swiggy,send,Mumbai,Android,0,9,14,3,2,3,0,18343.150086206897,116,1237.5899137931046,0,0.1
94,user_17,8899.58,2026-08-14 18:49:23.153465,Flipkart,send,Delhi,Android,1,18,8,1,2,2,0,4173.412348484848,132,4726.167651515152,0,0.1
95,user_49,8841.23,2026-07-26 05:09:28.153465,Zomato,refund,Bangalore,Web,0,5,43,5,0,0,1,19333.43277227723,101,-10492.202772277229,1,0.2
96,user_22,85918.82,2026-08-08 00:50:18.153465,Amazon,refund,Delhi,Web,1,0,14,0,0,2,1,18343.150086206897,116,67575.66991379311,1,0.2
97,user_25,2475.32,2026-08-02 00:42:53.153465,Flipkart,request,Chennai,iOS,0,0,17,1,1,1,2,3615.32544,125,-1140.00544,1,0.5
98,user_28,10207.98,2026-09-10 11:47:09.153465,Swiggy,refund,Mumbai,Android,0,11,20,3,0,3,0,4678.404529914529,117,5529.57547008547,0,0.1
99,user_17,1741.36,2026-08-23 07:33:57.153465,Paytm,refund,Mumbai,Web,1,7,8,2,0,3,1,4173.412348484848,132,-2432.052348484848,0,0.2
100,user_2,30723.55,2026-09-16 06:14:08.153465,Swiggy,refund,Mumbai,Web,1,6,11,3,0,3,1,47401.46406779661,118,-16677.91406779661,1,0.2
101,user_23,6396.08,2026-08-16 22:28:15.153465,Walmart,send,Chennai,Android,0,22,15,4,2,1,0,21876.48723880597,134,-15480.40723880597,0,0.1
102,user_14,18472.49,2026-08-17 20:06:58.153465,Swiggy,send,Bangalore,iOS,0,20,5,3,2,0,2,18284.780597014927,134,187.70940298507412,0,0.5
103,user_42,1704.63,2026-08-30 12:48:29.153465,Walmart,refund,Delhi,Android,0,12,36,4,0,2,0,4749.498305084746,118,-3044.8683050847458,0,0.1
104,user_50,4752.91,2026-07-26 02:00:06.153465,Walmart,refund,Pune,Android,0,2,45,4,0,4,0,4276.488269230769,104,476.42173076923063,1,0.1
105,user_9,952.28,2026-07-23 05:15:17.153465,Swiggy,send,Chennai,Android,0,5,49,3,2,1,0,4747.313999999999,110,-3795.0339999999997,1,0.1
106,user_35,10299.32,2026-08-26 08:51:35.153465,Paytm,request,Mumbai,Android,0,8,28,2,1,3,0,15800.978582677166,127,-5501.658582677166,0,0.1
107,user_16,1703.17,2026-08-27 04:58:19.153465,Swiggy,refund,Bangalore,iOS,1,4,7,3,0,0,2,3660.321525423729,118,-1957.1515254237288,1,0.5
108,user_41,3332.19,2026-08-09 05:14:06.153465,Zomato,request,Delhi,Android,0,5,35,5,1,2,0,4057.624609375,128,-725.434609375,1,0.1
109,user_21,3175.23,2026-08-03 14:36:52.153465,Walmart,request,Mumbai,Web,0,14,13,4,1,3,1,4244.438115942029,138,-1069.208115942029,0,0.2
110,user_6,13459.93,2026-07-25 05:43:14.153465,Walmart,send,Pune,Web,1,5,46,4,2,4,1,3699.0514728682174,129,9760.878527131783,1,0.2
111,user_5,5289.01,2026-07-27 05:17:47.153465,Zomato,request,Mumbai,Web,0,5,44,5,1,3,1,21765.65124031008,129,-16476.641240310077,1,0.2
112,user_49,8821.22,2026-09-19 03:01:46.153465,Walmart,send,Mumbai,Web,0,3,43,4,2,3,1,19333.43277227723,101,-10512.21277227723,1,0.2
113,user_30,15879.09,2026-09-12 00:02:46.153465,Zomato,send,Bangalore,Web,1,0,23,5,2,0,1,20780.866470588233,119,-4901.776470588233,1,0.2
114,user_34,2633.14,2026-08-27 19:31:49.153465,Swiggy,request,Delhi,Web,0,19,27,3,1,2,1,4524.1720000000005,120,-1891.0320000000006,0,0.2
115,user_12,41796.75,2026-08-29 00:14:44.153465,Flipkart,send,Bangalore,Android,0,0,3,1,2,0,0,52530.11026548673,113,-10733.360265486728,1,0.1
116,user_40,18308.29,2026-09-17 02:49:48.153465,Zomato,refund,Delhi,iOS,0,2,34,5,0,2,2,18950.453564356438,101,-642.1635643564368,1,0.5
117,user_24,10540.43,2026-08-30 02:10:09.153465,Walmart,refund,Mumbai,iOS,0,2,16,4,0,3,2,20664.321171875,128,-10123.891171874999,1,0.5
118,user_7,30556.05,2026-08-11 19:11:54.153465,Paytm,send,Mumbai,iOS,0,19,47,2,2,3,2,60187.18528,125,-29631.13528,0,0.5
119,user_9,3402.2,2026-08-28 01:12:57.153465,Zomato,request,Bangalore,Web,0,1,49,5,1,0,1,4747.313999999999,110,-1345.1139999999996,1,0.2
120,user_36,4583.47,2026-09-10 12:30:19.153465,Zomato,send,Bangalore,iOS,1,12,29,5,2,0,2,4483.898691588785,107,99.57130841121489,0,0.5
121,user_12,46345.06,2026-08-25 20:50:22.153465,Flipkart,request,Delhi,Android,0,20,3,1,1,2,0,52530.11026548673,113,-6185.0502654867305,0,0.1
122,user_25,3097.67,2026-09-12 21:48:39.153465,Walmart,refund,Mumbai,iOS,0,21,17,4,0,3,2,3615.32544,125,-517.65544,0,0.5
123,user_14,13153.91,2026-07-26 07:30:03.153465,Swiggy,refund,Mumbai,iOS,0,7,5,3,0,3,2,18284.780597014927,134,-5130.870597014928,0,0.5
124,user_7,169081.17,2026-08-22 04:37:53.153465,Walmart,refund,Pune,Web,1,4,47,4,0,4,1,60187.18528,125,108893.98472000001,1,0.2
125,user_38,7016.77,2026-08-06 22:45:39.153465,Zomato,refund,Chennai,iOS,0,22,31,5,0,1,2,17814.76077586207,116,-10797.990775862068,0,0.5
126,user_12,48148.48,2026-08-13 20:42:11.153465,Paytm,refund,Chennai,Android,0,20,3,2,0,1,0,52530.11026548673,113,-4381.630265486725,0,0.1
127,user_7,44826.07,2026-08-05 15:27:48.153465,Amazon,request,Mumbai,iOS,0,15,47,0,1,3,2,60187.18528,125,-15361.115279999998,0,0.5
128,user_18,2446.65,2026-08-09 08:16:57.153465,Walmart,request,Pune,Android,0,8,9,4,1,4,0,4267.170924369748,119,-1820.5209243697477,0,0.1
129,user_2,50225.74,2026-08-12 19:33:13.153465,Walmart,send,Chennai,iOS,0,19,11,4,2,1,2,47401.46406779661,118,2824.275932203389,0,0.5
130,user_11,324.6,2026-09-17 07:16:53.153465,Swiggy,send,Pune,Android,0,7,2,3,2,4,0,3819.240342465753,146,-3494.6403424657533,0,0.1
131,user_43,11104.94,2026-08-27 11:28:42.153465,Flipkart,send,Delhi,iOS,0,11,37,1,2,2,2,15429.552764227643,123,-4324.612764227642,0,0.5
132,user_40,6172.71,2026-09-15 01:16:10.153465,Amazon,send,Bangalore,Web,0,1,34,0,2,0,1,18950.453564356438,101,-12777.743564356439,1,0.2
133,user_46,1621.91,2026-07-26 18:50:52.153465,Walmart,refund,Delhi,Android,0,18,40,4,0,2,0,4824.613684210526,133,-3202.7036842105263,0,0.1
134,user_24,18967.87,2026-08-08 00:26:36.153465,Amazon,send,Chennai,Android,0,0,16,0,2,1,0,20664.321171875,128,-1696.451171875,1,0.1
135,user_50,835.85,2026-09-17 08:19:24.153465,Paytm,send,Delhi,iOS,0,8,45,2,2,2,2,4276.488269230769,104,-3440.6382692307693,0,0.5
136,user_28,4984.21,2026-08-06 13:25:34.153465,Amazon,refund,Pune,Android,0,13,20,0,0,4,0,4678.404529914529,117,305.8054700854709,0,0.1
137,user_8,1100.11,2026-09-17 14:19:02.153465,Flipkart,send,Delhi,Web,0,14,48,1,2,2,1,4162.542654867257,113,-3062.432654867257,0,0.2
138,user_24,5912.41,2026-07-27 14:46:18.153465,Swiggy,request,Chennai,iOS,0,14,16,3,1,1,2,20664.321171875,128,-14751.911171875,0,0.5
139,user_46,1698.23,2026-08-04 05:53:24.153465,Paytm,send,Pune,iOS,1,5,40,2,2,4,2,4824.613684210526,133,-3126.383684210526,1,0.5
140,user_42,3997.41,2026-07-27 22:36:34.153465,Amazon,send,Pune,Android,0,22,36,0,2,4,0,4749.498305084746,118,-752.088305084746,0,0.1
141,user_32,3524.23,2026-09-15 15:26:57.153465,Zomato,request,Bangalore,Android,0,15,25,5,1,0,0,3596.741,130,-72.51099999999997,0,0.1
142,user_38,15743.67,2026-08-26 15:53:10.153465,Zomato,request,Delhi,Web,0,15,31,5,1,2,1,17814.76077586207,116,-2071.0907758620688,0,0.2
143,user_37,7427.38,2026-08-04 02:03:50.153465,Zomato,request,Pune,iOS,0,2,30,5,1,4,2,15907.096030534352,131,-8479.716030534353,1,0.5
144,user_22,6298.62,2026-09-10 23:48:02.153465,Walmart,request,Pune,Android,1,23,14,4,1,4,0,18343.150086206897,116,-12044.530086206898,0,0.1
145,user_22,15171.24,2026-08-26 00:45:02.153465,Walmart,request,Mumbai,Web,0,0,14,4,1,3,1,18343.150086206897,116,-3171.910086206897,1,0.2
146,user_16,495.11,2026-09-13 03:15:40.153465,Zomato,request,Mumbai,Android,0,3,7,5,1,3,0,3660.321525423729,118,-3165.2115254237287,1,0.1
147,user_33,1985.44,2026-07-30 06:56:52.153465,Amazon,refund,Delhi,iOS,0,6,26,0,0,2,2,3974.536484375,128,-1989.0964843749998,1,0.5
148,user_41,4941.87,2026-07-23 08:04:44.153465,Paytm,refund,Delhi,Web,1,8,35,2,0,2,1,4057.624609375,128,884.2453906249998,0,0.2
149,user_43,5063.87,2026-08-22 23:41:20.153465,Flipkart,send,Pune,Web,0,23,37,1,2,4,1,15429.552764227643,123,-10365.682764227644,0,0.2
150,user_48,10515.95,2026-07-31 21:30:15.153465,Swiggy,send,Pune,Android,1,21,42,3,2,4,0,4029.46368852459,122,6486.486311475411,0,0.1
151,user_43,5451.5,2026-09-17 06:38:43.153465,Zomato,refund,Delhi,Android,0,6,37,5,0,2,0,15429.552764227643,123,-9978.052764227643,1,0.1
152,user_35,35310.61,2026-08-15 11:48:38.153465,Zomato,refund,Bangalore,iOS,1,11,28,5,0,0,2,15800.978582677166,127,19509.631417322835,0,0.5
153,user_7,32546.41,2026-07-27 11:16:11.153465,Paytm,refund,Bangalore,iOS,0,11,47,2,0,0,2,60187.18528,125,-27640.775279999998,0,0.5
154,user_14,13414.16,2026-09-15 16:32:46.153465,Zomato,send,Pune,iOS,0,16,5,5,2,4,2,18284.780597014927,134,-4870.620597014928,0,0.5
155,user_16,3257.28,2026-08-19 00:22:16.153465,Walmart,refund,Chennai,Android,0,0,7,4,0,1,0,3660.321525423729,118,-403.0415254237287,1,0.1
156,user_24,6482.11,2026-08-05 07:37:18.153465,Paytm,request,Chennai,Web,0,7,16,2,1,1,1,20664.321171875,128,-14182.211171874998,0,0.2
157,user_37,17692.45,2026-07-29 12:21:03.153465,Amazon,send,Mumbai,Android,0,12,30,0,2,3,0,15907.096030534352,131,1785.3539694656483,0,0.1
158,user_41,1525.34,2026-08-11 13:10:21.153465,Zomato,request,Pune,iOS,0,13,35,5,1,4,2,4057.624609375,128,-2532.2846093750004,0,0.5
159,user_21,2815.93,2026-08-12 08:04:26.153465,Flipkart,refund,Delhi,Android,0,8,13,1,0,2,0,4244.438115942029,138,-1428.5081159420292,0,0.1
160,user_40,12092.29,2026-07-30 10:28:47.153465,Zomato,refund,Chennai,iOS,0,10,34,5,0,1,2,18950.453564356438,101,-6858.163564356437,0,0.5
161,user_4,4457.76,2026-08-09 21:05:59.153465,Flipkart,refund,Delhi,Android,0,21,33,1,0,2,0,4960.130344827586,116,-502.37034482758554,0,0.1
162,user_30,10274.09,2026-09-16 06:47:32.153465,Zomato,request,Pune,iOS,0,6,23,5,1,4,2,20780.866470588233,119,-10506.776470588233,1,0.5
163,user_7,25217.92,2026-07-29 23:06:52.153465,Zomato,send,Pune,Android,0,23,47,5,2,4,0,60187.18528,125,-34969.26528,0,0.1
164,user_19,2791.54,2026-08-09 12:10:53.153465,Amazon,send,Bangalore,Android,0,12,10,0,2,0,0,3644.202786885246,122,-852.6627868852461,0,0.1
165,user_45,3275.81,2026-09-13 23:05:59.153465,Zomato,refund,Bangalore,Android,0,23,39,5,0,0,0,3748.3989344262295,122,-472.58893442622957,0,0.1
166,user_38,7145.98,2026-08-31 01:39:35.153465,Walmart,refund,Delhi,iOS,1,1,31,4,0,2,2,17814.76077586207,116,-10668.78077586207,1,0.5
167,user_15,9318.96,2026-09-02 00:10:48.153465,Zomato,refund,Chennai,iOS,0,0,6,5,0,1,2,17357.696608695653,115,-8038.736608695654,1,0.5
168,user_1,27192.55,2026-08-05 16:58:41.153465,Walmart,refund,Pune,iOS,1,16,0,4,0,4,2,4037.2688695652173,115,23155.28113043478,0,0.5
